Timestamp,EmpID,Action,IP,Details
2026-09-03 15:27:56,DEMO001,LOGIN_SUCCESS,127.0.0.1,
2026-09-03 15:27:56,DEMO001,REQUEST,127.0.0.1,"type=kpi, k=7d"
2026-09-03 15:27:56,DEMO001,REQUEST,127.0.0.1,"type=all, k=month"
2026-09-03 15:27:57,DEMO001,REQUEST,127.0.0.1,"type=drill, k=month"
2026-09-03 15:27:57,DEMO001,REQUEST,127.0.0.1,"type=gsc_top_queries, k=month"
2026-09-03 15:35:38,DEMO002,LOGIN_SUCCESS,127.0.0.1,
2026-09-03 15:35:38,DEMO002,REQUEST,127.0.0.1,"type=kpi, k=7d"
2026-09-03 15:35:38,DEMO002,REQUEST,127.0.0.1,"type=all, k=month"
2026-09-03 15:35:38,DEMO002,REQUEST,127.0.0.1,"type=drill, k=month"
